seq,file_name,title_ja,source,width,height,status,date_year,date_month,date_day
136,136-mudai-1916-0815-b,136. 〔無題〕大正五年八月十五日,,,,,1916,1916-08,1916-08-15
137,137-mudai-1916-0816,137. 〔無題〕大正五年八月十六日,,,,,1916,1916-08,1916-08-16
138,138-mudai-1916-0818,138. 〔無題〕大正五年八月十八日,,,,,1916,1916-08,1916-08-18
139,139-mudai-1916-0819,139. 〔無題〕大正五年八月十九日,,,,,1916,1916-08,1916-08-19
140,140-mudai-1916-0820,140. 〔無題〕大正五年八月二十日,,,,,1916,1916-08,1916-08-20
141,141-mudai-1916-0821-a,141. 〔無題〕大正五年八月二十一日,,,,,1916,1916-08,1916-08-21
142,142-mudai-1916-0821-b,142. 〔無題〕大正五年八月二十一日,,,,,1916,1916-08,1916-08-21
143,143-mudai-1916-0822,143. 〔無題〕大正五年八月二十二日,,,,,1916,1916-08,1916-08-22
144,144-mudai-1916-0823,144. 〔無題〕大正五年八月二十三日,,,,,1916,1916-08,1916-08-23
145,145-heishin-hatsuboku,145. 〔題丙辰潑墨〕大正五年八月二十六日,,,,,1916,1916-08,1916-08-26
146,146-mudai-1916-0828,146. 〔無題〕大正五年八月二十八日,,,,,1916,1916-08,1916-08-28
147,147-mudai-1916-0829,147. 〔無題〕大正五年八月二十九日,,,,,1916,1916-08,1916-08-29
148,148-mudai-1916-0830-a,148. 〔無題〕大正五年八月三十日,,,,,1916,1916-08,1916-08-30
149,149-mudai-1916-0830-b,149. 〔無題〕大正五年八月三十日,,,,,1916,1916-08,1916-08-30
150,150-mudai-1916-0901-a,150. 〔無題〕大正五年九月一日,,,,,1916,1916-09,1916-09-01
151,151-mudai-1916-0901-b,151. 〔無題〕大正五年九月一日,,,,,1916,1916-09,1916-09-01
152,152-mudai-1916-0902-a,152. 〔無題〕大正五年九月二日,,,,,1916,1916-09,1916-09-02
153,153-mudai-1916-0902-b,153. 〔無題〕大正五年九月二日,,,,,1916,1916-09,1916-09-02
154,154-mudai-1916-0903,154. 〔無題〕大正五年九月三日,,,,,1916,1916-09,1916-09-03
155,155-mudai-1916-0904-a,155. 〔無題〕大正五年九月四日,,,,,1916,1916-09,1916-09-04
156,156-mudai-1916-0904-b,156. 〔無題〕大正五年九月四日,,,,,1916,1916-09,1916-09-04
157,157-mudai-1916-0905,157. 〔無題〕大正五年九月五日,,,,,1916,1916-09,1916-09-05
158,158-mudai-1916-0906,158. 〔無題〕大正五年九月六日,,,,,1916,1916-09,1916-09-06
159,159-mudai-1916-0909,159. 〔無題〕大正五年九月九日,,,,,1916,1916-09,1916-09-09
160,160-mudai-1916-0910,160. 〔無題〕大正五年九月十日,,,,,1916,1916-09,1916-09-10
161,161-mudai-1916-0911,161. 〔無題〕大正五年九月十一日,,,,,1916,1916-09,1916-09-11
162,162-mudai-1916-0912,162. 〔無題〕大正五年九月十二日,,,,,1916,1916-09,1916-09-12
163,163-mudai-1916-0913-a,163. 〔無題〕大正五年九月十三日,,,,,1916,1916-09,1916-09-13
164,164-mudai-1916-0913-b,164. 〔無題〕大正五年九月十三日,,,,,1916,1916-09,1916-09-13
165,165-mudai-1916-0915,165. 〔無題〕大正五年九月十五日,,,,,1916,1916-09,1916-09-15
166,166-mudai-1916-0916,166. 〔無題〕大正五年九月十六日,,,,,1916,1916-09,1916-09-16
167,167-mudai-1916-0917,167. 〔無題〕大正五年九月十七日,,,,,1916,1916-09,1916-09-17
